"Name","State","Notes","User","Tags","Created","Runtime","Sweep","device","epoches","n_parameters","output_dir","resume","task","train_samples","tuning","use_amp","use_ema","val_samples","best/bbox_AP","best/bbox_AP50","best/bbox_AP75","best/bbox_AP_large","best/bbox_AP_medium","best/bbox_AP_small","best/bbox_AR1","best/bbox_AR10","best/bbox_AR100","best/bbox_AR_large","best/bbox_AR_medium","best/bbox_AR_small","best/epoch","epoch","model/n_parameters","train/loss","train/loss_bbox","train/loss_bbox_aux_0","train/loss_bbox_aux_1","train/loss_bbox_aux_2","train/loss_bbox_dn_0","train/loss_bbox_dn_1","train/loss_bbox_dn_2","train/loss_bbox_dn_3","train/loss_bbox_enc_0","train/loss_giou","train/loss_giou_aux_0","train/loss_giou_aux_1","train/loss_giou_aux_2","train/loss_giou_dn_0","train/loss_giou_dn_1","train/loss_giou_dn_2","train/loss_giou_dn_3","train/loss_giou_enc_0","train/loss_vfl","train/loss_vfl_aux_0","train/loss_vfl_aux_1","train/loss_vfl_aux_2","train/loss_vfl_dn_0","train/loss_vfl_dn_1","train/loss_vfl_dn_2","train/loss_vfl_dn_3","train/loss_vfl_enc_0","train/lr","val/coco_eval_bbox_AP","val/coco_eval_bbox_AP50","val/coco_eval_bbox_AP75","val/coco_eval_bbox_AP_large","val/coco_eval_bbox_AP_medium","val/coco_eval_bbox_AP_small","val/coco_eval_bbox_AR1","val/coco_eval_bbox_AR10","val/coco_eval_bbox_AR100","val/coco_eval_bbox_AR_large","val/coco_eval_bbox_AR_medium","val/coco_eval_bbox_AR_small","time_limit_reached","time_limit_seconds","train/loss_bbox_aux_3","train/loss_giou_aux_3","train/loss_vfl_aux_3","training/epochs_completed","training/time_limit_reached","training/time_seconds"
"rtdetrv2_r34vd_lumafusion_coeffY16_Cb64_Cr64_120e_coco_20260108-101747_epoch0029","finished","-","","","2026-01-08T09:16:39.000Z","165855","","cuda","120","31453252","/dlocal/run/1588498/pytorchv2-rt-detr/output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY16_Cb64_Cr64_120e_coco_20260108-101747_epoch0029","true","detection","118287","false","true","true","5000","0.3964679711940094","0.558253386146777","0.4220851223359319","0.6072357197017048","0.43002214978706593","0.17709782303152435","0.3276100880105307","0.5468407228855882","0.6125932165329107","0.8488300537968602","0.6731426178360523","0.3621754723905898","55","56","31453252","13.067408918996067","0.19463404911863655","0.2048953041265117","0.1987913311246779","0.19603308244284975","0.3017104247054517","0.22599467432995168","0.20315372178519572","0.19872961467944347","0.236592034043968","0.6116737650860675","0.6296333292856912","0.6190466662172789","0.6145729970458328","0.6836913768875227","0.5627056765296939","0.523109468975604","0.5164473996341736","0.678845038663247","0.7700125096085619","0.8324380432533113","0.8005401120506149","0.7796151586151845","0.4581058383100757","0.41098637432000945","0.39808295330238885","0.39242157011293755","0.8249464137890256","0.000010000000000001044","0.3964679711940094","0.558253386146777","0.4220851223359319","0.6072357197017048","0.43002214978706593","0.17709782303152435","0.3276100880105307","0.5468407228855882","0.6125932165329107","0.8488300537968602","0.6731426178360523","0.3621754723905898","1","82800","","","","57","true","82802.507106781"
"rtdetrv2_r34vd_lumafusion_coeffY0_Cb16_Cr16_120e_coco_20260108-101747","finished","-","","","2026-01-08T09:16:38.000Z","82815","","cuda","120","31444932","output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY0_Cb16_Cr16_120e_coco_20260108-101747","false","detection","118287","false","true","true","5000","0.31976712865209034","0.4583392526248796","0.3419074429346224","0.510171146432298","0.33366992453284033","0.12754522939253615","0.2872179992169662","0.4835289067855754","0.5479767827205281","0.7988486360300249","0.5961928347704031","0.27614275579010916","27","28","31444932","14.95333237600582","0.2524520536712225","0.2628900216865284","0.2560975138973031","0.2534065879909885","0.3714033343986691","0.2890864767992118","0.2707029409869057","0.267415658192454","0.2964079067874885","0.7078798082019413","0.7252566499753863","0.7145489379478577","0.7096826795149415","0.772223573004187","0.6535985624473243","0.6298544170946316","0.626028605774558","0.7746043999457779","0.8439456674098603","0.9117560528942712","0.8755638396913256","0.8558231461750431","0.4723747971409956","0.43074970785314654","0.4190325923064509","0.4142857663213705","0.896260688390637","0.00001000000000000102","0.31976712865209034","0.4583392526248796","0.3419074429346224","0.510171146432298","0.33366992453284033","0.12754522939253615","0.2872179992169662","0.4835289067855754","0.5479767827205281","0.7988486360300249","0.5961928347704031","0.27614275579010916","1","82800","","","","29","true","82802.63986754417"
"rtdetrv2_r34vd_lumafusion_coeffY0_Cb48_Cr48_120e_coco_20260108-101729","finished","-","","","2026-01-08T09:16:23.000Z","82816","","cuda","120","31446980","output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY0_Cb48_Cr48_120e_coco_20260108-101729","false","detection","118287","false","true","true","5000","0.3130544418810948","0.4499874387182344","0.33273784855233635","0.4999365865121562","0.32643361456516595","0.12414967910691788","0.28522009607887017","0.4772752300150685","0.5434916612921405","0.7960144762211625","0.5921814601583023","0.26914040959385027","23","24","31446980","15.09407122379478","0.2550006703674372","0.2649648800492287","0.25904287430507134","0.2560748163518552","0.37595045905125857","0.29622701512840527","0.27739279650072746","0.2737730515034797","0.2989826544224163","0.713567033357418","0.7319397937387965","0.7217470935713697","0.716152396271591","0.7811908744881094","0.6671883427422797","0.6428898982993284","0.6384659359396135","0.7827910938448283","0.8486445450530036","0.9157212759496468","0.8781232746245583","0.8591432820781802","0.47298208715216433","0.4328304439045936","0.4209505438383392","0.4158788889962456","0.8964552161550353","0.000009999999999999652","0.3130544418810948","0.4499874387182344","0.33273784855233635","0.4999365865121562","0.32643361456516595","0.12414967910691788","0.28522009607887017","0.4772752300150685","0.5434916612921405","0.7960144762211625","0.5921814601583023","0.26914040959385027","1","82800","","","","25","true","82802.89666461945"
"rtdetrv2_r34vd_lumafusion_coeffY0_Cb64_Cr64_120e_coco_20260108-101729","finished","-","","","2026-01-08T09:16:23.000Z","82816","","cuda","120","31448004","output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY0_Cb64_Cr64_120e_coco_20260108-101729","false","detection","118287","false","true","true","5000","0.3124147159036336","0.4482319035843087","0.33384953934297723","0.5039853600675793","0.3266124578167682","0.12888314441592144","0.28097381466577703","0.476539138197693","0.5427990973142927","0.7846631892385878","0.5948953114819422","0.2748747815131061","23","24","31448004","15.101037566616556","0.25579031728593526","0.26529913746947625","0.2589451558009698","0.2567846119506303","0.3773178751455387","0.29895177640059883","0.2746477475513039","0.27043059143068826","0.29903354302790325","0.7137180066666887","0.7313911476329252","0.7208387995018003","0.7157860127202654","0.7809798377221444","0.6695485960328664","0.634752363620354","0.6293948163627876","0.7816211735364964","0.8494599647746808","0.9225618553536346","0.8824320595172315","0.8605889480880607","0.4738063250168836","0.4328282324410609","0.4216942927692166","0.4166410055204241","0.9057933754911592","0.000010000000000001315","0.3124147159036336","0.4482319035843087","0.33384953934297723","0.5039853600675793","0.3266124578167682","0.12888314441592144","0.28097381466577703","0.476539138197693","0.5427990973142927","0.7846631892385878","0.5948953114819422","0.2748747815131061","1","82800","","","","25","true","82802.5188741684"
"rtdetrv2_r34vd_lumafusion_coeffY16_Cb16_Cr16_120e_coco_20260107-111257_epoch0022","finished","-","","","2026-01-07T10:12:56.000Z","171922","","cuda","120","31450180","/dlocal/run/1588489/pytorchv2-rt-detr/output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY16_Cb16_Cr16_120e_coco_20260107-111257_epoch0022","true","detection","118287","false","true","true","5000","0.36345960142086575","0.515514834105409","0.3870328428532201","0.5729838664760376","0.38823762571172793","0.15680130270016285","0.3125276954737927","0.5219012818024485","0.585828284724784","0.8282771476365647","0.6490250858984753","0.3113437937150345","47","48","31450180","13.82581058600888","0.21262091583126827","0.2230397534833035","0.21669296088698295","0.213774903003744","0.32835867283462594","0.24899589930048335","0.2242993466524602","0.2200262214685569","0.25689562875875827","0.6485494520778767","0.6663003636262484","0.6563615322648031","0.6505335711469872","0.7194518948243311","0.5953681215470796","0.5608279150227181","0.5552964023576996","0.7172288225438552","0.8045222474755808","0.8791400784549894","0.8384333029468057","0.8198177736437434","0.4659983263348073","0.42130641272604274","0.40743216138958555","0.40166714274518217","0.8728707946970697","0.000009999999999999682","0.36345960142086575","0.515514834105409","0.3870328428532201","0.5729838664760376","0.38823762571172793","0.15680130270016285","0.3125276954737927","0.5219012818024485","0.585828284724784","0.8282771476365647","0.6490250858984753","0.3113437937150345","1","82800","","","","49","true","82802.42275619507"
"rtdetrv2_r34vd_lumafusion_coeffY48_Cb32_Cr32_120e_coco_20260107-111257_epoch0023","finished","-","","","2026-01-07T10:12:56.000Z","175444","","cuda","120","31453252","/dlocal/run/1588494/pytorchv2-rt-detr/output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY48_Cb32_Cr32_120e_coco_20260107-111257_epoch0023","true","detection","118287","false","true","true","5000","0.3926886050547799","0.5525726644662686","0.41923136384538146","0.6064532410827369","0.4242881852412233","0.17660226560328138","0.3242071068680059","0.5436557637202077","0.6086334574762984","0.8489625882817253","0.6681971434123882","0.35155859107154414","45","46","31453252","13.340477473919208","0.19987557503737904","0.20961138360654777","0.20336578699379315","0.20055285417116608","0.31111506255290766","0.23690491574616568","0.21579805126195012","0.21224528536864137","0.24253086117356412","0.6222885644701328","0.6391555479591192","0.6291739407145542","0.623946579562025","0.696676899643562","0.5774473440888439","0.5500765578804712","0.5460785862839657","0.6911193664498657","0.7783634868421052","0.8481692813765183","0.8096833881578948","0.7893122153340081","0.4619949946229757","0.4144201511892713","0.401407475645243","0.39653893598178136","0.8326243832236843","0.000010000000000001334","0.3926886050547799","0.5525726644662686","0.41923136384538146","0.6064532410827369","0.4242881852412233","0.17660226560328138","0.3242071068680059","0.5436557637202077","0.6086334574762984","0.8489625882817253","0.6681971434123882","0.35155859107154414","1","82800","","","","47","true","82802.66709375381"
"rtdetrv2_r34vd_lumafusion_coeffY48_Cb16_Cr16_120e_coco_20260107-111257_epoch0022","finished","-","","","2026-01-07T10:12:56.000Z","171922","","cuda","120","31452228","/dlocal/run/1588491/pytorchv2-rt-detr/output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY48_Cb16_Cr16_120e_coco_20260107-111257_epoch0022","true","detection","118287","false","true","true","5000","0.39379017735337185","0.5556668848436639","0.41884083257836874","0.6065032447407792","0.4216117694477709","0.1775835378523495","0.32733858232119045","0.5431123388982472","0.6106279445224352","0.848624543647463","0.6711116657813768","0.35423834970505724","47","48","31452228","13.275273240156087","0.19814705616117972","0.20821472343657516","0.2014475989124333","0.19949124248692693","0.3080642967283907","0.23600926328801455","0.21008988665048836","0.20542091132116172","0.24010580627751568","0.6212802218720543","0.6389640690662578","0.6282114754195997","0.6236657541709468","0.6949831292893749","0.5795395828851451","0.5391494347694072","0.5328480661051251","0.690053035051627","0.7758950833491641","0.8444028721029635","0.8072412554616262","0.7847961982332827","0.461815664181231","0.4142227126472264","0.40158030965045594","0.3957995939399696","0.8338340318674012","0.000009999999999999818","0.39379017735337185","0.5556668848436639","0.41884083257836874","0.6065032447407792","0.4216117694477709","0.1775835378523495","0.32733858232119045","0.5431123388982472","0.6106279445224352","0.848624543647463","0.6711116657813768","0.35423834970505724","1","82800","","","","49","true","82802.47038984299"
"rtdetrv2_r34vd_lumafusion_coeffY32_Cb16_Cr16_120e_coco_20260107-111257_epoch0023","finished","-","","","2026-01-07T10:12:56.000Z","171922","","cuda","120","31451204","/dlocal/run/1588490/pytorchv2-rt-detr/output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY32_Cb16_Cr16_120e_coco_20260107-111257_epoch0023","true","detection","118287","false","true","true","5000","0.39329062473206594","0.5548553691127879","0.4193460552158545","0.6113233975094939","0.4231206665674536","0.17399067690312278","0.327339118007555","0.5458094809653928","0.6097704693700822","0.856381878363021","0.6691969308988525","0.34406620704150087","48","49","31451204","13.288224835144844","0.1999061120379912","0.2118436477980331","0.20393386245460104","0.20027488406355445","0.3190673307123545","0.2406278219760249","0.2200458614204667","0.21609038764022684","0.24613806247515113","0.6106870442040657","0.6307435615086242","0.6182422172278166","0.6127639625613627","0.6891896697251421","0.568011745222305","0.5406399778041401","0.5363657486281896","0.682700569594377","0.7818812320106908","0.8483677914268092","0.8129047594572368","0.7929430509868421","0.46143381219161184","0.4137075323807566","0.39958512155633225","0.3941835102282073","0.8359455309416118","0.000010000000000000025","0.39329062473206594","0.5548553691127879","0.4193460552158545","0.6113233975094939","0.4231206665674536","0.17399067690312278","0.327339118007555","0.5458094809653928","0.6097704693700822","0.856381878363021","0.6691969308988525","0.34406620704150087","1","82800","","","","50","true","82802.54848504066"
"rtdetrv2_r34vd_lumafusion_coeffY48_Cb0_Cr0_120e_coco_20260107-111353_epoch0027","finished","-","","","2026-01-07T10:12:49.000Z","171929","","cuda","120","31444868","/dlocal/run/1588488/pytorchv2-rt-detr/output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY48_Cb0_Cr0_120e_coco_20260107-111353_epoch0027","true","detection","118287","false","true","true","5000","0.3603398135061171","0.5175605585811822","0.3829460896230147","0.5793651073161965","0.38521618789256545","0.13548463114905138","0.3066304327385357","0.5043779764326541","0.5692211182192686","0.8371611960649341","0.6266657575500477","0.28897978362977006","52","53","31444868","13.656484903636835","0.21471353749780508","0.22469315191015515","0.21877406892547263","0.21532369654564648","0.31951196924662756","0.24044335688618337","0.22196974223937171","0.21928581031805863","0.25790377399685893","0.6553548146226201","0.6715233293211907","0.6625595985268765","0.6568866256236778","0.7177011735906565","0.5897862484577278","0.5644439464514682","0.561163066841595","0.7194937895324202","0.778764099024366","0.8405871343436344","0.8064378838153724","0.7892398340514395","0.4575913676621104","0.4168430979265716","0.4033543606378764","0.3986238619667855","0.8335115701763075","0.000009999999999999682","0.3603398135061171","0.5175605585811822","0.3829460896230147","0.5793651073161965","0.38521618789256545","0.13548463114905138","0.3066304327385357","0.5043779764326541","0.5692211182192686","0.8371611960649341","0.6266657575500477","0.28897978362977006","1","82800","","","","54","true","82802.72818398476"
"rtdetrv2_r34vd_lumafusion_coeffY32_Cb0_Cr0_120e_coco_20260107-111353_epoch0028","finished","-","","","2026-01-07T10:12:49.000Z","171929","","cuda","120","31443844","/dlocal/run/1588487/pytorchv2-rt-detr/output/detr_compressed34/rtdetrv2_r34vd_lumafusion_coeffY32_Cb0_Cr0_120e_coco_20260107-111353_epoch0028","true","detection","118287","false","true","true","5000","0.363588060782087","0.5241737763999034","0.3851841533219803","0.5886810417061533","0.3879886720735064","0.13513587591231005","0.3100146222895891","0.509281452387652","0.5707229296720314","0.8274035082570853","0.6271952930522364","0.29584827549123227","52","54","31443844","13.58571403187023","0.21430747929420935","0.2253530964944475","0.2181105387395305","0.21493076000025285","0.31607877658496963","0.2386220854804295","0.21818737303247515","0.21528512154757665","0.25740776097129103","0.66022444069303","0.6778482753000442","0.6666952522878533","0.6612341194247249","0.7161797994979363","0.5871712261580325","0.5609069423880547","0.5583093985729487","0.7244391612723011","0.768172452932446","0.8220058664064663","0.7952939342244184","0.7799757495543133","0.4581983043889331","0.41667347276550815","0.40351955991674743","0.3984187043495569","0.8121643827021601","0.00001000000000000065","0.3632908635808478","0.5239190375140891","0.38394321711400065","0.590240075527341","0.3880472696349138","0.1352916885583714","0.3100958071079706","0.5099136065034885","0.5718626559427549","0.830321800114275","0.628142385902837","0.2979250557062743","1","82800","","","","55","true","82802.63852214813"
